#Entity    DRAMA        SMACT        TXTPT          RXTPT          PCITX                       PCIRX                       NVLTX                       NVLRX                       NBWLT                       FBUSD             
ID                                   KB/            KB/                                                                                                                            MB/                                           
GPU 0      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 1      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 2      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 3      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 4      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 5      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 6      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 7      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 0      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 1      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 2      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 3      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 4      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 5      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 6      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 7      N/A          N/A          N/A            N/A            N/A                         N/A                         N/A                         N/A                         0                           0                 
GPU 0      0.000        0.000        N/A            N/A            721361                      587446                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            717981                      584342                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            715878                      582764                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            691266                      559721                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            735287                      603218                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            690490                      559391                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            677123                      546624                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            673911                      544051                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            713576                      579846                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            849336                      703973                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            706456                      573341                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            704890                      572822                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            680803                      549254                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            669209                      538606                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            662436                      531940                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            650936                      521482                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            719674                      585975                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            705762                      573072                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            719542                      586953                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            754659                      622593                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            698070                      567051                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            670241                      539118                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            676596                      546098                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            657708                      527738                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            726474                      592347                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            753169                      620440                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            708553                      575437                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            689694                      557101                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            683412                      551342                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            698501                      568511                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            661912                      531416                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            655102                      524606                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            718848                      585109                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            705734                      572527                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            723735                      590622                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            702247                      569659                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            687882                      556383                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            686029                      555605                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            678697                      548722                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            663441                      534001                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            744671                      610985                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            719600                      585429                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            729190                      596752                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            727925                      595861                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            714857                      570209                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            671236                      540123                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            668596                      538125                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            807961                      678016                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            716265                      583043                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            703308                      570193                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            697652                      570377                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            701750                      568633                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            708558                      575965                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            675847                      545274                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            667674                      537179                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            653562                      524211                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            682439                      551382                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            766735                      633618                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            519364                      384675                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            686552                      551862                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            686014                      554471                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            671239                      540648                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            613597                      478407                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            653006                      518841                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            906340                      551382                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            708564                      574922                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            889699                      384675                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            686552                      591678                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            684972                      552904                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            671239                      542433                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            741564                      615262                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            726894                      600592                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            725586                      771474                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            710636                      576999                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            878541                      759231                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            721124                      604789                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            684458                      552912                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            673455                      542958                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            668209                      537712                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            655578                      525615                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            756907                      591335                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            708020                      574382                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            700515                      740995                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            736333                      557593                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            701211                      570192                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            673980                      542419                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            659819                      529322                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            653507                      523539                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            724866                      623641                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            705960                      572315                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            740222                      567829                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            690179                      567600                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            691269                      559199                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            673438                      541384                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            665585                      535088                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            658247                      528799                      0                           0                           0                           0                 
GPU 0      0.000        0.000        N/A            N/A            647273                      591077                      0                           0                           0                           0                 
GPU 1      0.000        0.000        N/A            N/A            501538                      365279                      0                           0                           0                           0                 
GPU 2      0.000        0.000        N/A            N/A            487292                      608523                      0                           0                           0                           0                 
GPU 3      0.000        0.000        N/A            N/A            699674                      490021                      0                           0                           0                           0                 
GPU 4      0.000        0.000        N/A            N/A            516222                      380485                      0                           0                           0                           0                 
GPU 5      0.000        0.000        N/A            N/A            671882                      401974                      0                           0                           0                           0                 
GPU 6      0.000        0.000        N/A            N/A            634675                      497887                      0                           0                           0                           0                 
GPU 7      0.000        0.000        N/A            N/A            513543                      377297                      0                           0                           0                           0                 
