card,field,id,category,unit,verdict,n,na,zero,nonzero,nz_mean,nz_median,nz_min,nz_max,nz_mean_MB,nz_mean_MBps@10Hz
gpu7,DRAMA,1005,HBM,ratio,CLEAN,348,10,338,0,,,,,,
gpu7,SMACT,1002,compute,ratio,CLEAN,348,0,348,0,,,,,,
gpu7,SMOCC,1003,compute,ratio,CLEAN,348,0,348,0,,,,,,
gpu7,GRACT,1001,compute,ratio,CLEAN,348,0,348,0,,,,,,
gpu7,TENSO,1004,compute,ratio,CLEAN,348,0,348,0,,,,,,
gpu7,MCUTL,204,HBM(粗),int%,CLEAN,348,0,348,0,,,,,,
gpu7,PCITX,1009,PCIe,bytes,FLOOR,348,0,10,338,2187437.432,1718524.5,607935.0,5848533.0,2.1874,21.874
gpu7,PCIRX,1010,PCIe,bytes,FLOOR,348,0,10,338,1962004.4527,1498839.5,461192.0,5628427.0,1.962,19.62
gpu7,NBWLT,449,NVLink,mbps,CLEAN,348,0,348,0,,,,,,
gpu7,NVLTX,1011,NVLink,bytes,CLEAN,348,0,348,0,,,,,,
gpu7,NVLRX,1012,NVLink,bytes,CLEAN,348,0,348,0,,,,,,
gpu7,FBUSD,252,显存容量,mb,CLEAN,348,0,348,0,,,,,,
gpu3,DRAMA,1005,HBM,ratio,CLEAN,148,0,148,0,,,,,,
gpu3,SMACT,1002,compute,ratio,CLEAN,148,0,148,0,,,,,,
gpu3,SMOCC,1003,compute,ratio,CLEAN,148,0,148,0,,,,,,
gpu3,GRACT,1001,compute,ratio,CLEAN,148,0,148,0,,,,,,
gpu3,TENSO,1004,compute,ratio,CLEAN,148,0,148,0,,,,,,
gpu3,MCUTL,204,HBM(粗),int%,CLEAN,148,0,148,0,,,,,,
gpu3,PCITX,1009,PCIe,bytes,FLOOR,148,0,0,148,2199623.2095,1768798.5,1708458.0,6131960.0,2.1996,21.996
gpu3,PCIRX,1010,PCIe,bytes,FLOOR,148,0,0,148,1968213.7162,1556533.0,1483109.0,5917079.0,1.9682,19.682
gpu3,NBWLT,449,NVLink,mbps,CLEAN,148,0,148,0,,,,,,
gpu3,NVLTX,1011,NVLink,bytes,CLEAN,148,0,148,0,,,,,,
gpu3,NVLRX,1012,NVLink,bytes,CLEAN,148,0,148,0,,,,,,
gpu3,FBUSD,252,显存容量,mb,CLEAN,148,0,148,0,,,,,,
