source_file,freq_hz,interval_ms,gpu,sample_idx,pcitx_bytes,pcirx_bytes,pcitx_MB,pcirx_MB,pcitx_MBps,pcirx_MBps,pcitx_status,pcirx_status,used_in_task1_baseline
idle_pcie_check_gpu45.txt,1,1000,GPU4,0,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,0,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,1,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,1,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,2,2396102,2240152,2.3961,2.2402,2.396,2.24,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,2,2692927,2538585,2.6929,2.5386,2.693,2.539,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,3,2396102,2240152,2.3961,2.2402,2.396,2.24,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,3,2796734,2538585,2.7967,2.5386,2.797,2.539,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,4,2997710,2849569,2.9977,2.8496,2.998,2.85,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,4,3374074,2657978,3.3741,2.658,3.374,2.658,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,5,3674685,3495483,3.6747,3.4955,3.675,3.495,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,5,3046676,3197475,3.0467,3.1975,3.047,3.197,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,6,2235876,2098389,2.2359,2.0984,2.236,2.098,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,6,3063344,2887313,3.0633,2.8873,3.063,2.887,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,7,3005137,2857440,3.0051,2.8574,3.005,2.857,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,7,2316225,2895681,2.3162,2.8957,2.316,2.896,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,8,3203230,3012608,3.2032,3.0126,3.203,3.013,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,8,3061051,2186933,3.0611,2.1869,3.061,2.187,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,9,3217620,3047620,3.2176,3.0476,3.218,3.048,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,9,3272408,2893075,3.2724,2.8931,3.272,2.893,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,10,2703480,2560668,2.7035,2.5607,2.703,2.561,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,10,2328598,3111964,2.3286,3.112,2.329,3.112,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,11,2706827,2554526,2.7068,2.5545,2.707,2.555,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,11,3732179,2215360,3.7322,2.2154,3.732,2.215,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,12,3820392,3617063,3.8204,3.6171,3.82,3.617,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,12,2576692,3514180,2.5767,3.5142,2.577,3.514,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,13,2737887,2577375,2.7379,2.5774,2.738,2.577,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,13,3277845,2435811,3.2778,2.4358,3.278,2.436,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,14,2622399,2497672,2.6224,2.4977,2.622,2.498,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,14,1366622,1237912,1.3666,1.2379,1.367,1.238,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,15,1938150,1804271,1.9382,1.8043,1.938,1.804,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,15,2118554,2005893,2.1186,2.0059,2.119,2.006,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,16,5044354,3122334,5.0444,3.1223,5.044,3.122,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,16,2118554,2903776,2.1186,2.9038,2.119,2.904,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,17,2042604,4715457,2.0426,4.7155,2.043,4.715,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,17,4796059,4246131,4.7961,4.2461,4.796,4.246,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,18,2042604,1917708,2.0426,1.9177,2.043,1.918,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,18,4406321,2458183,4.4063,2.4582,4.406,2.458,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,19,2533305,2410902,2.5333,2.4109,2.533,2.411,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,19,2568307,2961542,2.5683,2.9615,2.568,2.962,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,20,3099268,2947310,3.0993,2.9473,3.099,2.947,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,20,3096966,2962817,3.097,2.9628,3.097,2.963,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,21,2839417,2772336,2.8394,2.7723,2.839,2.772,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,21,3123806,2989831,3.1238,2.9898,3.124,2.99,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,22,2420675,2290705,2.4207,2.2907,2.421,2.291,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,22,3050100,2154534,3.0501,2.1545,3.05,2.155,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,23,3082464,3000519,3.0825,3.0005,3.082,3.001,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,23,2879512,2809805,2.8795,2.8098,2.88,2.81,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,24,2376621,2259231,2.3766,2.2592,2.377,2.259,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,24,2537001,2402316,2.537,2.4023,2.537,2.402,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,25,3166743,3025242,3.1667,3.0252,3.167,3.025,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,25,3277277,3143279,3.2773,3.1433,3.277,3.143,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,26,3027610,2981000,3.0276,2.981,3.028,2.981,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,26,3157322,3084480,3.1573,3.0845,3.157,3.084,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,27,3027610,2981000,3.0276,2.981,3.028,2.981,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,27,3157322,3084480,3.1573,3.0845,3.157,3.084,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,28,3780370,3635812,3.7804,3.6358,3.78,3.636,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,28,2838526,2701673,2.8385,2.7017,2.839,2.702,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU4,29,2237840,2109039,2.2378,2.109,2.238,2.109,valid,valid,True
idle_pcie_check_gpu45.txt,1,1000,GPU5,29,3556066,3362548,3.5561,3.3625,3.556,3.363,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,0,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_5hz.txt,5,200,GPU4,1,,,,,,,warmup_NA,warmup_NA,True
idle_pcie_check_5hz.txt,5,200,GPU4,2,1472606,1328490,1.4726,1.3285,7.363,6.642,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,3,0,1413293,0.0,1.4133,0.0,7.066,empty_zero,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,4,2148693,0,2.1487,0.0,10.743,0.0,valid,empty_zero,True
idle_pcie_check_5hz.txt,5,200,GPU4,5,602715,1957407,0.6027,1.9574,3.014,9.787,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,6,1428104,448105,1.4281,0.4481,7.141,2.241,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,7,3513113,1286604,3.5131,1.2866,17.566,6.433,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,8,136256,3373357,0.1363,3.3734,0.681,16.867,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,9,3202037,15721,3.202,0.0157,16.01,0.079,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,10,2491119,3052679,2.4911,3.0527,12.456,15.263,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,11,3393432,2389067,3.3934,2.3891,16.967,11.945,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,12,2093678,3215244,2.0937,3.2152,10.468,16.076,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,13,5119450,2056992,5.1194,2.057,25.597,10.285,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,14,361604,4970556,0.3616,4.9706,1.808,24.853,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,15,2597638,251550,2.5976,0.2515,12.988,1.258,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,16,3542718,2447404,3.5427,2.4474,17.714,12.237,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,17,2244326,3464108,2.2443,3.4641,11.222,17.321,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,18,2652495,2541619,2.6525,2.5416,13.262,12.708,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,19,2009904,1802886,2.0099,1.8029,10.05,9.014,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,20,2219477,2033429,2.2195,2.0334,11.097,10.167,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,21,605314,450710,0.6053,0.4507,3.027,2.254,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,22,3076303,2921701,3.0763,2.9217,15.382,14.609,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,23,4849847,4716221,4.8498,4.7162,24.249,23.581,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,24,1011420,833242,1.0114,0.8332,5.057,4.166,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,25,1603689,1449085,1.6037,1.4491,8.018,7.245,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,26,1304934,1137231,1.3049,1.1372,6.525,5.686,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,27,0,1780092,0.0,1.7801,0.0,8.9,empty_zero,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,28,1758284,0,1.7583,0.0,8.791,0.0,valid,empty_zero,True
idle_pcie_check_5hz.txt,5,200,GPU4,29,4100822,1713737,4.1008,1.7137,20.504,8.569,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,30,2106775,3925260,2.1068,3.9253,10.534,19.626,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,31,5613551,2043886,5.6136,2.0439,28.068,10.219,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,32,2048340,5261564,2.0483,5.2616,10.242,26.308,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,33,4915136,1916868,4.9151,1.9169,24.576,9.584,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,34,4915136,4705312,4.9151,4.7053,24.576,23.527,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,35,1004523,879547,1.0045,0.8795,5.023,4.398,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,36,1004523,879547,1.0045,0.8795,5.023,4.398,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,37,11252228,11042592,11.2522,11.0426,56.261,55.213,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,38,676057,534556,0.6761,0.5346,3.38,2.673,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,39,3534862,3369779,3.5349,3.3698,17.674,16.849,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,40,4105308,3917039,4.1053,3.917,20.527,19.585,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,41,2950325,2813955,2.9503,2.814,14.752,14.07,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,42,3796183,3591975,3.7962,3.592,18.981,17.96,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,43,4693067,4436701,4.6931,4.4367,23.465,22.184,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,44,4693067,4436701,4.6931,4.4367,23.465,22.184,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,45,141503,15722,0.1415,0.0157,0.708,0.079,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,46,2588859,2373994,2.5889,2.374,12.944,11.87,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,47,4003847,3710371,4.0038,3.7104,20.019,18.552,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,48,3605585,3437883,3.6056,3.4379,18.028,17.189,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,49,2803760,2722530,2.8038,2.7225,14.019,13.613,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,50,4160313,3922057,4.1603,3.9221,20.802,19.61,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,51,2413334,2300659,2.4133,2.3007,12.067,11.503,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,52,3094605,3068401,3.0946,3.0684,15.473,15.342,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,53,3682524,1876203,3.6825,1.8762,18.413,9.381,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,54,3682524,3530542,3.6825,3.5305,18.413,17.653,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,55,2064778,1813232,2.0648,1.8132,10.324,9.066,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,56,3036803,2853653,3.0368,2.8537,15.184,14.268,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,57,1388789,1255151,1.3888,1.2552,6.944,6.276,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,58,3149649,3023873,3.1496,3.0239,15.748,15.119,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,59,3415323,3245867,3.4153,3.2459,17.077,16.229,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,60,2308536,2211583,2.3085,2.2116,11.543,11.058,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,61,2308536,2211583,2.3085,2.2116,11.543,11.058,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,62,3313213,3186554,3.3132,3.1866,16.566,15.933,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,63,1242748,1134458,1.2427,1.1345,6.214,5.672,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,64,3680213,3523385,3.6802,3.5234,18.401,17.617,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,65,2794985,2719020,2.795,2.719,13.975,13.595,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,66,2545589,2422119,2.5456,2.4221,12.728,12.111,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,67,4708915,4404945,4.7089,4.4049,23.545,22.025,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,68,3115023,2958095,3.115,2.9581,15.575,14.79,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,69,4402122,4090305,4.4021,4.0903,22.011,20.452,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,70,4402122,4090305,4.4021,4.0903,22.011,20.452,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,71,141503,15722,0.1415,0.0157,0.708,0.079,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,72,3570344,3358167,3.5703,3.3582,17.852,16.791,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,73,3570344,3173283,3.5703,3.1733,17.852,15.866,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,74,3437942,3885998,3.4379,3.886,17.19,19.43,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,75,4137553,2187985,4.1376,2.188,20.688,10.94,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,76,4107583,3882294,4.1076,3.8823,20.538,19.411,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,77,2165074,2060355,2.1651,2.0604,10.825,10.302,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,78,1695414,1531116,1.6954,1.5311,8.477,7.656,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,79,1695414,1531116,1.6954,1.5311,8.477,7.656,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,80,3655386,3581640,3.6554,3.5816,18.277,17.908,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,81,1598527,1404607,1.5985,1.4046,7.993,7.023,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,82,649843,518826,0.6498,0.5188,3.249,2.594,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,83,4479005,4204745,4.479,4.2047,22.395,21.024,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,84,2164393,2025516,2.1644,2.0255,10.822,10.128,valid,valid,True
idle_pcie_check_5hz.txt,5,200,GPU4,85,2056960,1965248,2.057,1.9652,10.285,9.826,valid,valid,True
